word	idx	context	definition	domain	hypernym
amnesia	1	In Amnesia , the male characters that the female character can interact with are based on the symbolic suit symbols from a card deck with the following storylines ( commonly known as 'routes ' ) in the game	Pathologic partial or complete loss of the ability to recall past experiences (amnesia, retrograde) or to form new memories (amnesia, anterograde). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the diencephalon or hippocampus.	1	['neurocognitive_disorder', 'memory_disorder']
migraine	19	He had a headache so bad that he wished he was dead , but it was the sort of migraine that promised him he would continue to suffer but not die .	a severe recurring vascular headache; occurs more frequently in women than men	0	['headache', 'head_ache', 'cephalalgia']
chip	4	This cup has a chip in it .	a thin crisp slice of potato fried in deep fat	0	['snack_food']
age	0	age has n't slowed him down at all	a late time of life	0	['time_of_life']
blood	4	the ancients believed that blood was the seat of the emotions	the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets	0	['liquid_body_substance', 'bodily_fluid', 'body_fluid', 'humor', 'humour']
onrush	8	from the bow she stared at the mesmerising onrush of the sea where it split and foamed	a forceful forward rush or flow	0	['rush', 'spate', 'surge', 'upsurge']
issue	3	he died without issue	the act of providing an item for general use or for official purposes (usually in quantity)	0	['provision', 'supply', 'supplying']
grasshopper	32	Like many modeling applications , Rhino also features a scripting language , based on the Visual Basic language . Rhinoceros 3D gained its popularity in architectural design in part because of the Grasshopper plug-in ( parametric modeling tool ) for computational design . Rhino 's increasing popularity is based on its diversity , multi-disciplinary functions , low learning-curve , relatively low cost , and its ability to import and export over 30 file formats , which allows Rhino to act also as a 'converter ' too	A grasshopper is a sweet, mint-flavored, after-dinner drink. The name of the drink is derived from its green color, which is provided by the crème de menthe. The drink reputedly originated at Tujague's, a landmark bar in the French Quarter of New Orleans, Louisiana, and gained popularity during the 1950s and 1960s throughout the American South.	2	['cocktail']
conversion	1	The conversion of equations ; the conversion of proportions	a change of religion	0	['change', 'alteration', 'modification']
kuru	41	As a professional hypochondriac , I prefer to go to the doctor for symptoms that I sew together into a rare disease tapestry just so I can hear his stifled laughter just before tells me why I could n't possibly have Kuru .	A prion disease found exclusively among the Fore linguistic group natives of the highlands of new guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques. (From Adams et al., Principles of Neurology, 6th ed, p773)	1	['prion_disease']
train	0	train of mourners	public transport provided by a line of railway cars coupled together and drawn by a locomotive	0	['public_transport']
step	2	always a step behind	relative position in a graded series	0	['rank']
neighbor	4	what is the closest neighbor to the Earth ?	a nearby object of the same kind	0	['object', 'physical_object']
kuru	11	The above several references would indicate that the ancestors of the Kurus of Middle India had migrated from Bahlika/Uttarakuru which was a region stated to be to the north of Himalaya /Hindukush .	A prion disease found exclusively among the Fore linguistic group natives of the highlands of new guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques. (From Adams et al., Principles of Neurology, 6th ed, p773)	1	['prion_disease']
manhattan	28	Named after Hotel 1000 's 530-square-foot Grand Luxe Parlor Suite , this cocktail is cherry-forward with a balanced , muted sweetness ( think of a twist on the Manhattan , here ) .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	2	['cocktail']
shift	6	I use my thumb to press shift	The shift key is a modifier key on a keyboard, used to type capital letters and other alternate "upper" characters.	3	['key', 'keyboard_key']
bellini	9	Mix well , and since this is an Israeli Bellini add a mint sprig for garnish . Enjoy !	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
fit	4	He had a laughing fit which lasted more than ten minutes .	a sudden uncontrollable attack	0	['attack']
bombshell	4	she was a blonde bombshell	a shocking surprise	0	['surprise']
python	32	Work constantly on projects , each project should be more advanced . Check out my GitHub if you to get some ideas . I have worked in multiple different programming languages and python is one of them .	Python is an interpreted, high-level, general-purpose programming language	3	['object_oriented_programming_language']
dengue	12	I 've gotten vaccinations up the wazoo , but it looks like Dengue Fever might be a problem .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	1	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']
ice	3	look at the ice on that dame !	water frozen in the solid state	0	['crystal']
poor	2	the urban poor need assistance	people without possessions or wealth (considered as a group)	0	['people']
kuru	13	This was the cause of transmission of a prion causing a disease called Kuru , an incurable degenerative malady of the central nervous system .	A prion disease found exclusively among the Fore linguistic group natives of the highlands of new guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques. (From Adams et al., Principles of Neurology, 6th ed, p773)	1	['prion_disease']
confidence	5	he took me into his confidence	a feeling of trust (in someone or something)	0	['security']
amnesia	15	In the summer of 2007 , van Buuren recorded and released a live set at Amnesia , Ibiza .	Pathologic partial or complete loss of the ability to recall past experiences (amnesia, retrograde) or to form new memories (amnesia, anterograde). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the diencephalon or hippocampus.	1	['neurocognitive_disorder', 'memory_disorder']
dress	7	He came to the party in formal dress .	clothing in general	0	['clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment']
b-52	20	The smokey nature of the Kahlua was a perfect combination with the creamy Irish creme . I thoroughly enjoyed the B-52 . I like Baileys by itself , and I drink White Russians with my roommate John often enough to appreciate good Kahlua , but this was my first run in with Grand Marnier .	The B-52 (also B52 or Bifi) cocktail is a layered shot composed of a coffee liqueur, an Irish Cream, and a triple sec. When prepared properly, the ingredients separate into three distinctly visible layering (due to their relative densities).	2	['cocktail']
delirium	29	Looking at them , I wish I were a kid again ... or that they made them in my size , because you know , I might go as Delirium next Halloween if they did .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	1	['neurocognitive_disorder', 'confusion']
scan	8	you could see the tumor in the CAT scan	the act of scanning; systematic examination of a prescribed region	0	['examination', 'scrutiny']
married	11	My plan is to wait to have sex until i 'm married .	a person who is married	0	['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']
manhattan	19	What cities and towns are in Riley County , KS ? Cities and towns located in the County include Manhattan , Ogden , Riley , Leonardville , Randolph . Riley County , KS Vital Records Where can find Riley County Birth , marriage , Divorce and Death Records ?	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	2	['cocktail']
variation	6	an emery wheel is the modern variation of a grindstone	an activity that varies from a norm or standard	0	['activity']
chairperson	3	She was the chairperson of the board and she presided over the meeting .	the officer who presides at the meetings of an organization	0	['presiding_officer']
fact	6	your fears have no basis in fact	an event known to have happened or something known to have existed	0	['reality', 'realness', 'realism']
amnesia	17	The broadcasts from Ibiza have taken place every summer since the first Essential Mix live broadcast from Amnesia .	Pathologic partial or complete loss of the ability to recall past experiences (amnesia, retrograde) or to form new memories (amnesia, anterograde). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the diencephalon or hippocampus.	1	['neurocognitive_disorder', 'memory_disorder']
amygdala	7	Let it generate 90 pleasure molecules in amygdala .	Almond-shaped group of basal nuclei anterior to the inferior horn of the lateral ventricle of the temporal lobe. The amygdala is part of the limbic system.	1	['basal_ganglia', 'limbic_system']
cap	4	We should put a cap on the salaries , to keep them under control .	an upper limit on what is allowed	0	['control']
month	4	July is my favourite month .	one of the twelve divisions of the calendar year	0	['time_period', 'period_of_time', 'period']
dengue	0	Dengue virus causes dengue fever and dengue hemorrhagic ... strong protection against all four dengue virus strains as had been hoped .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	1	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']
mimosa	23	It seems so theraputic , does n't it ? Okay , okay , since the point here is that this IS N'T a mimosa , let 's focus on what this IS . According to my buddy Wikipedia , the Persian silk tree is native to much of Asia , from Azerbaijan to China to Korea .	A Mimosa is a cocktail-like drink composed of one part champagne and one part thoroughly chilled citrus fruit juice, usually orange juice unless otherwise specified (e.g. , "grapefruit mimosa"). It is traditionally served in a tall champagne flute with a morning brunch as hair of the dog or to guests at weddings. It is probably named after the yellow flowers of Acacia dealbata. A Buck's Fizz is a similar cocktail, but with twice as much orange juice as champagne.	2	['cocktail']
shift	0	Shift extended will therefore please two different types of players .	The shift key is a modifier key on a keyboard, used to type capital letters and other alternate "upper" characters.	3	['key', 'keyboard_key']
organization	9	Over time , the spontaneous movement had become an organization .	an ordered manner; orderliness by virtue of being methodical and well organized	0	['orderliness', 'methodicalness']
runoff	1	The runoff of nitrates is poisoning the lake .	the occurrence of surplus liquid (as water) exceeding the limit or capacity	0	['flow', 'flowing']
manhattan	46	The tide of modernism and then postmodernism has brought fame to American architects such as Frank Lloyd Wright , Philip Johnson , and Frank Gehry . One of the first major promoters of American theater was impresario P. T. Barnum , who began operating a lower Manhattan entertainment complex in 1841 . The team of Harrigan and Hart produced a series of popular musical comedies in New York starting in the late 1870s .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	2	['cocktail']
exile	2	men in exile dream of hope	the act of expelling a person from their native land	0	['banishment', 'proscription']
cosmo	25	The sequential twin turbocharged system was a very complex piece of engineering , developed with the aid of Hitachi and previously used on the domestic Cosmo series ( JC Cosmo=90-95 ) .	A cosmopolitan, or informally a cosmo, is a cocktail made with vodka, triple sec, cranberry juice, and freshly squeezed lime juice or sweetened lime juice.	2	['cocktail']
americano	20	Count Camillo Negroni invented it by asking the bartender , Fosco Scarselli , to strengthen his favorite drink , the Americano , by adding gin rather than the normal soda water .	The Americano is an iba official cocktail composed of Campari, sweet vermouth, and for the sparkling version, club soda. The cocktail was first served in creator Gaspare Campari's bar, Caffè Campari, in the 1860s. It was originally known as the "Milano-Torino" because of its ingredients: Campari, the bitter liqueur, is from Milan (Milano) and Punt e Mes, the vermouth, is from Turin (Torino).	2	['cocktail']
gradient	0	Gradient is powered by the most advanced artificial intelligence and beautification technologies which will help you tune your photos to perfection in mere seconds .	In vector calculus, the gradient of a scalar-valued differentiable function f of several variables, is the vector field, or more simply a vector-valued function, whose value at a point p is the vector whose components are the partial derivatives of f at p.	3	['mathematical_operator']
table	9	There are about 2,200 species of plants found on Table Mountain and 1470 floral species .	A table is an arrangement of data in rows and columns, or possibly in a more complex structure.	3	['data_structure']
level	2	a high level of care is required	an abstract place usually conceived as having depth	0	['place']
blaze	4	the horse had a blaze between its eyes	a light-colored marking	0	['marking']
bellini	31	For those who are unfamiliar with the great Callas , I share this evening the following clip of her singing `` Ah , non credea mirarti '' from La sonnambula ( Bellini ) .	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
dengue	37	The information contained herein has been taken from a recipe of Ioshiko Nobukuni , which does a great job of spreading it in Brazil and has helped a lot and especially the low income population in fighting dengue .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	1	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']
record	4	Chicago set the homicide record	an extreme attainment; the best (or worst) performance ever attested (as in a sport)	0	['attainment']
amnesia	3	Charles Ardai called Amnesia `` a brilliant , witty , and intriguing story '' , however , and stated that `` the text is so rich and the story so interesting that one hardly notices that this is probably the least interactive piece of interactive fiction ever made '' .	Pathologic partial or complete loss of the ability to recall past experiences (amnesia, retrograde) or to form new memories (amnesia, anterograde). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the diencephalon or hippocampus.	1	['neurocognitive_disorder', 'memory_disorder']
sprinkling	1	a sprinkling of grey at his temples	the act of sprinkling or splashing water	0	['watering']
b-52	7	Long Day : Alabama Slammer and a B-52 Joe and Calvin hit the bottle ( s ) I decided that I want to write about alcohol .	The B-52 (also B52 or Bifi) cocktail is a layered shot composed of a coffee liqueur, an Irish Cream, and a triple sec. When prepared properly, the ingredients separate into three distinctly visible layering (due to their relative densities).	2	['cocktail']
tantrum	3	she threw a tantrum	a display of bad temper	0	['bad_temper', 'ill_temper']
kuru	10	Clouds were formating before us while we were crossing the Kuru river .	A prion disease found exclusively among the Fore linguistic group natives of the highlands of new guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques. (From Adams et al., Principles of Neurology, 6th ed, p773)	1	['prion_disease']
table	5	There was a really noisy table behind us celebrating someone 's birthday .	A table is an arrangement of data in rows and columns, or possibly in a more complex structure.	3	['data_structure']
grasshopper	15	Yes , he is Yoo Jae Suk , the National MC of Korea . Why grasshopper ? Well , that nickname was given to him when he appeared in a show at KBS where he debuted .	A grasshopper is a sweet, mint-flavored, after-dinner drink. The name of the drink is derived from its green color, which is provided by the crème de menthe. The drink reputedly originated at Tujague's, a landmark bar in the French Quarter of New Orleans, Louisiana, and gained popularity during the 1950s and 1960s throughout the American South.	2	['cocktail']
bellini	11	The final piece has to be from Norma . I think Bellini is a wonderful composer of opera , but he does n't make life easy for the singers . There 's never any doubling of the vocal line by the orchestra so the singer is very exposed .	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
python	11	A clone of the old , handheld virtual pet games in python 3 .	Python is an interpreted, high-level, general-purpose programming language	3	['object_oriented_programming_language']
bellini	11	After a monring 's work I went off to see the Bellini retrospective at the Quirinale . Beautiful !	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
manhattan	15	We enjoyed cocktails expertly made by Bartender Mike at the bar one afternoon . A Manhattan at P.J . Clarke 's ; frankly , we just do n't think it gets any better than that .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	2	['cocktail']
sewer	1	a sewer of fine gowns	misfortune resulting in lost effort or money	0	['misfortune', 'bad_luck', 'tough_luck', 'ill_luck']
daemon	11	If the process can not fork a child , then the daemon should terminate right here .	In multitasking computer operating systems, a daemon is a computer program that runs as a background process, rather than being under the direct control of an interactive user.	3	['computer_program']
cosmo	9	The observed abundances of the light elements throughout the cosmos closely match the calculated predictions for the formation of these elements from nuclear processes in the rapidly expanding and cooling first minutes of the universe , as logically and quantitatively detailed according to Big Bang nucleosynthesis .	A cosmopolitan, or informally a cosmo, is a cocktail made with vodka, triple sec, cranberry juice, and freshly squeezed lime juice or sweetened lime juice.	2	['cocktail']
fork	28	In an attempt to coallate this information for myself and others , this short tutorial is what I 've found to be fairly standard procedure for creating a fork , doing your work , issuing a pull request , and merging that pull request back into the original project .	In software engineering, a project fork happens when developers take a copy of source code from one software package and start independent development on it, creating a distinct and separate piece of software.	3	['source_code_management_operation']
cry	1	a cry to arms	a slogan used to rally support for a cause	0	['motto', 'slogan', 'catchword', 'shibboleth']
discovery	7	The defense argued that the plaintiff 's discovery was inadequate .	the act of discovering something	0	['act', 'deed', 'human_action', 'human_activity']
bellini	44	For some reason the word `` agrodolce '' ( which , in Italian , means `` bittersweet '' ) was stuck in my head all week ( as were many other Italian words ; this was probably because I was singing some songs by Bellini in the shower earlier in the week and then I could n't get them out of my head ) , and then at one point `` agrodolce '' and `` strawberries '' ran into each other somewhere in the grey matter inside my little dome .	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
reorganization	1	the reorganization was prescribed by federal bankruptcy laws	an extensive alteration of the structure of a corporation or government	0	['revision', 'alteration']
taker	7	She is known as quite a risk taker .	one who takes a bet or wager	0	['bettor', 'better', 'wagerer', 'punter']
set	2	before the set of sun	a unit of play in tennis or squash	0	['playing_period', 'period_of_play', 'play']
shopping	2	does her shopping at the mall rather than down town	searching for or buying goods or services	0	['buying', 'purchasing']
slave	5	his mother was his abject slave	someone entirely dominated by some influence or person	0	['person', 'individual', 'someone', 'somebody', 'mortal', 'soul']
americano	33	Then it 's off to Seoul , Korea and finally a 13 hour flight back to Washington , DC . Before I checked out I had a sandwich and a couple of ' Americanos ' on the Veranda . Need fuel and caffeine to kick off this day and plane trip back .	The Americano is an iba official cocktail composed of Campari, sweet vermouth, and for the sparkling version, club soda. The cocktail was first served in creator Gaspare Campari's bar, Caffè Campari, in the 1860s. It was originally known as the "Milano-Torino" because of its ingredients: Campari, the bitter liqueur, is from Milan (Milano) and Punt e Mes, the vermouth, is from Turin (Torino).	2	['cocktail']
bed	5	the room had only a bed and chair	a piece of furniture that provides a place to sleep	0	['bedroom_furniture']
bellini	14	We were 11 at table for this feast . We started the evening with Bellini , made with fresh , Niagara peaches . ( Thank you , Jack Lalanne Juicer ! )	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
bellini	5	Before its first performance , Bellini had to convince the lead , Giuditta Pasta , to give the role of Norma a go . He coached her personally past her intimidation .	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	2	['cocktail']
shift	0	Shift was developed by Tony .	The shift key is a modifier key on a keyboard, used to type capital letters and other alternate "upper" characters.	3	['key', 'keyboard_key']
progress	1	great progress in the arts	gradual improvement or growth or development	0	['development']
table	8	Memorizing the basic multiplication facts , or times tables as they are sometimes known , is very important for your children .	A table is an arrangement of data in rows and columns, or possibly in a more complex structure.	3	['data_structure']
b-52	4	Shooters , like this B-52 , are cocktails served in shot glasses . One of several types of alcoholic beverages intended to be drunk from a shot glass .	The B-52 (also B52 or Bifi) cocktail is a layered shot composed of a coffee liqueur, an Irish Cream, and a triple sec. When prepared properly, the ingredients separate into three distinctly visible layering (due to their relative densities).	2	['cocktail']
manhattan	13	Set during the 90s but relevant for it 's cast of characters . Manhattan and Hannah and Her Sisters are two of the best Woody Allen films about frustrated New York academics from this period . Torch Song Trilogy : Harvie Fierstein both directs and stars in this movie based on his own play from 1982 about the life of a New York drag show artist in the 1970s .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	2	['cocktail']
campaign	3	I managed his campaign for governor	several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)	0	['operation', 'military_operation']
suit	3	the family brought suit against the landlord	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	0	['proceeding', 'legal_proceeding', 'proceedings']
daemon	4	To them , a daemon was a spiritual being falling somewhere between a god and a human , or the ghost of a fallen hero	In multitasking computer operating systems, a daemon is a computer program that runs as a background process, rather than being under the direct control of an interactive user.	3	['computer_program']
string	1	All string operations default to long ( doubleword ) .	In computer programming, a string is traditionally a sequence of characters, either as a literal constant or as some kind of variable. The latter may allow its elements to be mutated and the length changed, or it may be fixed (after creation). A string is generally considered as a data type and is often implemented as an array data structure of bytes (or words) that stores a sequence of elements, typically characters, using some character encoding. String may also denote more general arrays or other sequence (or list) data types and structures.	3	['primitive_data_type']
focus	1	in focus	a central point or locus of an infection in an organism	0	['point']
vertigo	3	I definitely recommend vertigo listeners of Eden 's older songs	An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space. Vertigo may be associated with disorders of the inner ear (ear, inner); vestibular nerve; brainstem; or cerebral cortex. Lesions in the temporal lobe and parietal lobe may be associated with focal seizures that may feature vertigo as an ictal manifestation. (From Adams et al., Principles of Neurology, 6th ed, pp300-1)	1	['neurologic_manifestation', 'vestibular_disease']
element	3	water is the element of fishes	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system	0	['part', 'portion']
wounded	1	The wounded lay on stretchers waiting for surgery .	people who are wounded	0	['people']
vertigo	5	I felt sure the whole Vertigo thing was going away . Then came the neck pain .	An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space. Vertigo may be associated with disorders of the inner ear (ear, inner); vestibular nerve; brainstem; or cerebral cortex. Lesions in the temporal lobe and parietal lobe may be associated with focal seizures that may feature vertigo as an ictal manifestation. (From Adams et al., Principles of Neurology, 6th ed, pp300-1)	1	['neurologic_manifestation', 'vestibular_disease']
mimosa	15	You might know it as the `` Sensitive Plant '' , botanically known as the Mimosa pudica , seen in this video ( you will get the gist of it in the first 10 seconds ) .	A Mimosa is a cocktail-like drink composed of one part champagne and one part thoroughly chilled citrus fruit juice, usually orange juice unless otherwise specified (e.g. , "grapefruit mimosa"). It is traditionally served in a tall champagne flute with a morning brunch as hair of the dog or to guests at weddings. It is probably named after the yellow flowers of Acacia dealbata. A Buck's Fizz is a similar cocktail, but with twice as much orange juice as champagne.	2	['cocktail']
grip	4	he was in the grip of a powerful emotion	an intellectual hold or understanding	0	['influence']
