word	idx	context	definition	domain	hypernym
explanation	1	the explanation was very simple	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.	11	['statement']
log	3	they kept a log of all transmission by the radio station	a written record of messages sent or received	11	['written_record', 'written_account']
gesture	2	a political gesture	something done as an indication of intention	11	['indication', 'indicant']
minister	1	The minister said a prayer on behalf of the entire congregation .	a person authorized to conduct religious worship	11	['clergyman', 'reverend', 'man_of_the_cloth']
pronunciation	4	that is the correct pronunciation	the way a word or a language is customarily spoken	11	['speech', 'speech_communication', 'spoken_communication', 'spoken_language', 'language', 'voice_communication', 'oral_communication']
revenge	4	Indifference is the sweetest revenge .	action taken in return for an injury or offense	11	['return', 'paying_back', 'getting_even']
minute	2	Wait a minute , I 'm not ready yet !	an indefinitely short time	11	['time']
pull	2	A zipper pull	a device used for pulling something	11	['device']
snorter	9	the storm was n't long but it was a snorter	something that is extraordinary or remarkable or prominent	11	['thing']
button	6	The politician wore a bright yellow button with the slogan " Vote Smart " emblazoned on it .	a round flat badge displaying information and suitable for pinning onto a garment	11	['badge']
probity	5	in a world where financial probity may not be widespread	complete and confirmed integrity; having strong moral principles	11	['integrity']
ash	4	The woods planted in ash will see a different mix of species .	strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats	11	['wood']
amount	1	the amount he had in cash was insufficient	a quantity of money	11	['assets']
whimsy	0	whimsy can be humorous to someone with time to enjoy it	an odd or fanciful or capricious idea	11	['idea', 'thought']
nightlife	4	in the summer the nightlife shifts to the dance clubs	the activity of people seeking nighttime diversion (as at the theater, a nightclub, etc.)	11	['diversion', 'recreation']
precaution	10	he put an ice pack on the injury as a precaution	a precautionary measure warding off impending danger or damage or injury etc.	11	['measure', 'step']
refresher	5	The nap was a welcome refresher .	a drink that refreshes	11	['beverage', 'drink', 'drinkable', 'potable']
invasion	1	an invasion of locusts	any entry into an area not previously occupied	11	['entrance', 'entering']
mechanism	1	a mechanism of social control	the technical aspects of doing something	11	['performance', 'execution', 'carrying_out', 'carrying_into_action']
usage	1	English usage	the customary manner in which a language (or a form of a language) is spoken or written	11	['language', 'linguistic_communication']
stream	3	he felt a stream of air	a steady flow of a fluid (usually from natural causes)	11	['flow', 'flowing']
preponderance	1	the preponderance of good over evil	superiority in power or influence	11	['power', 'powerfulness']
delta	2	the Nile delta	a low triangular area of alluvial deposits where a river divides before entering a larger body of water	11	['alluvial_sediment', 'alluvial_deposit', 'alluvium', 'alluvion']
recreation	1	for recreation he wrote poetry and solved crossword puzzles	an activity that diverts or amuses or stimulates	11	['activity']
falsity	9	The belief that the world is flat is a falsity .	the state of being false or untrue	11	['unreality', 'irreality']
collapse	1	the collapse of the old star under its own gravity	a natural event caused by something suddenly falling down or caving in	11	['happening', 'occurrence', 'occurrent', 'natural_event']
gig	3	they played a gig in New Jersey	a booking for musicians	11	['engagement', 'booking']
poster	3	I saw a poster for it on the side of a bus .	a sign posted in a public place as an advertisement	11	['sign']
rank	7	the strike was supported by the union rank and file	the ordinary members of an organization (such as the enlisted soldiers of an army)	11	['force', 'personnel']
rehearsal	1	a rehearsal will be held the day before the wedding	a practice session in preparation for a public performance (as of a play or speech or concert)	11	['exercise', 'practice', 'drill', 'practice_session', 'recitation']
pay	3	he wasted his pay on drink	something that remunerates	11	['regular_payment']
continent	5	pioneers had to cross the continent on foot	one of the large landmasses of the earth	11	['landmass', 'land_mass']
corner	5	he tripled to the rightfield corner	a place off to the side of an area	11	['area', 'country']
home	11	Canadian tariffs enabled United States lumber companies to raise prices at home	the country or state or city where you live	11	['location']
wateriness	1	the wateriness of his blood	meagerness or poorness connoted by a superfluity of water (in a literary style as well as in a food)	11	['meagerness', 'meagreness', 'leanness', 'poorness', 'scantiness', 'scantness', 'exiguity']
finish	8	my horse was several lengths behind at the finish	designated event that concludes a contest (especially a race)	11	['happening', 'occurrence', 'occurrent', 'natural_event']
urgency	7	they departed hurriedly because of some great urgency in their affairs	an urgent situation calling for prompt action	11	['situation']
curd	1	bean curd	a coagulated liquid resembling milk curd	11	['foodstuff', 'food_product']
jockey	4	he 's a truck jockey	an operator of some vehicle or machine or apparatus	11	['operator', 'manipulator']
cup	3	he put the cup back in the saucer	a small open container usually used for drinking; usually has a handle	11	['container']
wine	3	She ordered some wine for the meal .	fermented juice (of grapes especially)	11	['alcohol', 'alcoholic_drink', 'alcoholic_beverage', 'intoxicant', 'inebriant']
bane	1	The bane of my existence	something causing misery or death	11	['affliction']
forwarding	1	the forwarding of resumes to the personnel department	the act of sending on to another destination	11	['transmission', 'transmittal', 'transmitting']
charge	3	the wrestler 's charge carried him past his adversary	an impetuous rush toward someone or something	11	['attack', 'onslaught', 'onset', 'onrush']
opinion	2	In my opinion , white chocolate is better than milk chocolate .	a personal belief or judgment that is not founded on proof or certainty	11	['belief']
remover	1	rust remover	a solvent that removes a substance (usually from a surface)	11	['solvent', 'dissolvent', 'dissolver', 'dissolving_agent', 'resolvent']
obstacle	5	lack of imagination is an obstacle to one 's advancement	something immaterial that stands in the way and must be circumvented or surmounted	11	['hindrance', 'hinderance', 'deterrent', 'impediment', 'balk', 'baulk', 'check', 'handicap']
toast	2	All toasters toast toast .	slices of bread that have been toasted	11	['bread', 'breadstuff', 'staff_of_life']
upgrade	6	the power plant received a new upgrade	the act of improving something (especially machinery) by raising it to a higher grade (as by adding or replacing components)	11	['improvement']
finger	14	Human hands have five fingers : the thumb , the forefinger ( or index finger ) , the middle finger , the ring finger and the little finger .	any of the terminal members of the hand (sometimes excepting the thumb)	11	['digit', 'dactyl']
daughter	13	I already have a son , so I would like to have a daughter .	a female human offspring	11	['female_offspring']
cognate	3	English is a cognate of Greek , German , Russian and Persian .	a word is cognate with another if both derive from the same word in an ancestral language	11	['word']
adhocracy	8	the need for informational flexibility can lead to adhocracy	an organization with little or no structure	11	['organization', 'organisation']
glow	1	a glow of regret	a feeling of considerable warmth	11	['feeling']
chore	4	Washing dishes is a chore , but we can not just stop eating .	a specific piece of work required to be done as a duty or for a specific fee	11	['duty']
mince	1	a mince of mushrooms	food chopped into small bits	11	['nutriment', 'nourishment', 'nutrition', 'sustenance', 'aliment', 'alimentation', 'victuals']
recrudescence	1	a recrudescence of racism	a return of something after a period of abatement	11	['outbreak', 'eruption', 'irruption']
excuse	5	That thing is a poor excuse for a gingerbread man . Has n't anyone taught you how to bake ?	a poor example	11	['example', 'illustration', 'instance', 'representative']
marriage	1	a marriage of ideas	a close and intimate union	11	['union', 'unification']
circumference	8	a danger to all races over the whole circumference of the globe	the boundary line encompassing an area or object	11	['boundary_line', 'border', 'borderline', 'delimitation', 'mete']
straggle	1	a straggle of followers	a wandering or disorderly grouping (of things or persons)	11	['group', 'grouping']
extension	7	the dancer was praised for her uncanny extension	the ability to raise the working leg high in the air	11	['dance']
invasion	1	An invasion of bees	any entry into an area not previously occupied	11	['entrance', 'entering']
body	2	the whole body filed out of the auditorium	a group of persons associated by some common tie or occupation and regarded as an entity	11	['social_group']
dignity	4	it was beneath his dignity to cheat	the quality of being worthy of esteem or respect	11	['pride', 'pridefulness']
mate	4	He 's my best mate .	informal term for a friend of the same sex	11	['friend']
cuisine	7	The restaurant is noted for its excellent cuisine .	the practice or manner of preparing food or the food so prepared	11	['cooking', 'cookery', 'preparation']
dad	5	He had n't seen his dad in years .	an informal term for a father; probably derived from baby talk	11	['father', 'male_parent', 'begetter']
story	4	The book tells the story of two roommates .	a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program	11	['message', 'content', 'subject_matter', 'substance']
word	3	we had a word or two about it	an exchange of views on some topic	11	['speech', 'speech_communication', 'spoken_communication', 'spoken_language', 'language', 'voice_communication', 'oral_communication']
landing	5	the plane made a smooth landing	the act of coming down to the earth (or other surface)	11	['arrival']
shot	5	he trained at putting the shot	sports equipment consisting of a heavy metal ball used in the shot put	11	['sports_equipment']
piano	10	Most of the works by Frédéric Chopin are for the piano .	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds	11	['keyboard_instrument']
average	3	he is about average in height	an intermediate scale value regarded as normal or usual	11	['scale_value']
chemistry	1	The chemistry of indigo	the chemical composition and properties of a substance or object	11	['substance']
allowance	2	my weekly allowance of two eggs	an amount allowed or granted (as during a given period)	11	['share', 'portion', 'part', 'percentage']
effort	5	It took a lot of effort to find a decent - sized , fully - furnished apartment within walking distance of the office . He made a conscious effort to not appear affected by the stories in the paper .	use of physical or mental energy; hard work	11	['labor', 'labour', 'toil']
contradistinction	2	sculpture in contradistinction to painting	a distinction drawn on the basis of contrast	11	['differentiation', 'distinction']
system	5	that language has a complex system for indicating gender	a complex of methods or rules governing behavior	11	['method']
subsidy	1	a subsidy for research in artificial intelligence	a grant paid by a government to an enterprise that benefits the public	11	['grant']
instruction	2	Students receive instruction in the arts and sciences .	the activities of educating or instructing; activities that impart knowledge or skill	11	['activity']
save	7	the relief pitcher got credit for a save	(sports) the act of preventing the opposition from scoring	11	['prevention', 'bar']
holiday	4	Today is a Wiccan holiday !	a day on which work is suspended by law or custom	11	['day']
suit	1	what suit is trumps ?	playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color	11	['playing_card']
border	6	the rug had a wide blue border	a strip forming the outer edge of something	11	['edge']
group	3	There is a group of houses behind the hill ; he left town to join a Communist group	any number of entities (members) considered as a unit	11	['abstraction', 'abstract_entity']
reverence	6	the French treat food with gentle reverence	a feeling of profound respect for someone or something	11	['emotion']
fondler	8	the woman charged that her jailer was a fondler	a molester who touches the intimate parts of the victim	11	['molester']
succession	1	a succession of failures	a group of people or things arranged or following in order	11	['series']
heartbeat	5	The policeman waited for a heartbeat in vain	the rhythmic contraction and expansion of the arteries with each beat of the heart	11	['periodic_event', 'recurrent_event']
path	1	the path of virtue	a course of conduct	11	['course', 'course_of_action']
efficiency	1	The efficiency of the planning department is deplorable .	skillfulness in avoiding wasted time and effort	11	['skillfulness']
show	1	a show of impatience	something intended to communicate a particular impression	11	['demonstration', 'demo']
sultriness	1	the sultriness of her look was unmistakable	the quality of expressing or arousing sexual desire	11	['sex_appeal', 'desirability', 'desirableness', 'oomph']
operation	4	they organized a rescue operation	a planned activity involving many people performing various actions	11	['activity']
spade	4	she led a low spade	a playing card in the major suit that has one or more black figures on it	11	['playing_card']
reality	1	the reality of his situation slowly dawned on him	the state of being actual or real	11	['actuality']
distribution	2	worldwide in distribution	the spatial or geographic property of being scattered about over a range, area, or volume	11	['spacing', 'spatial_arrangement']
officer	3	he is an officer of the court	someone who is appointed or elected to an office and who holds a position of trust	11	['holder']
earshot	10	I 'll row out on the lake but stay within earshot .	the range within which a voice can be heard	11	['range', 'reach']
connection	8	The bus was late so he missed his connection at Penn Station and had to wait six hours for the next train .	shifting from one form of transportation to another	11	['transportation', 'transport', 'transfer', 'transferral', 'conveyance']
bourne	6	" For though from out our bourne of Time and Place , The flood may bear me far , I hope to see my Pilot face to faceWhen I have crossed the bar .	an archaic term for a boundary	11	['boundary', 'bound', 'bounds']
militia	4	their troops were untrained militia	the entire body of physically fit civilians eligible by law for military service; ; --United States Constitution	11	['body']
canon	2	the neoclassical canon	a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy	11	['rule', 'prescript']
exhibition	4	There was an art exhibition on in the town hall .	a collection of things (goods or works of art etc.) for public display	11	['collection', 'aggregation', 'accumulation', 'assemblage']
caller	4	- Who 's the caller ?	the person initiating a telephone call	11	['speaker', 'talker', 'utterer', 'verbalizer', 'verbaliser']
professionalization	1	the professionalization of warfare	the social process whereby people come to engage in an activity for pay or as a means of livelihood	11	['social_process']
department	5	his work established a new department of literature	a specialized sphere of knowledge	11	['sector', 'sphere']
draw	4	the luck of the draw	anything (straws or pebbles etc.) taken or chosen at random	11	['object', 'physical_object']
literature	11	one aspect of Waterloo has not yet been treated in the literature	published writings in a particular style on a particular subject	11	['writing', 'written_material', 'piece_of_writing']
arousal	3	To influence the arousal of brain and behavior	the act of arousing	11	['change_of_state']
knuckleball	8	Even the pitcher does n't know where his knuckleball is going .	a baseball pitch thrown with little speed or spin	11	['pitch', 'delivery']
month	4	he was given a month to pay the bill	a time unit of approximately 30 days	11	['time_unit', 'unit_of_time']
studio	1	His studio was cramped when he began as an artist .	workplace for the teaching or practice of an art	11	['workplace', 'work']
mainstream	6	his thinking was in the American mainstream	the prevailing current of thought	11	['thought']
kinship	2	anthropology 's kinship with the humanities	a close connection marked by community of interests or similarity in nature or character	11	['relation']
gown	5	the relations between town and gown are always sensitive	the members of a university as distinguished from the other residents of the town in which the university is located	11	['university']
abatement	1	The abatement of a nuisance is the suppression thereof .	the act of abating	11	['moderation', 'mitigation']
breed	5	he experimented on a particular breed of white rats	a special variety of domesticated animals within a species	11	['animal_group']
eccentricity	5	For an ellipse , the eccentricity is the ratio of the distance from the center to a focus divided by the length of the semi - major axis .	(geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis	11	['ratio']
breast	3	he beat his breast in anger	the front of the trunk from the neck to the abdomen	11	['external_body_part']
property	5	he is a man of property	something owned; any tangible or intangible possession that is owned by someone	11	['possession']
button	3	Pat pushed the button marked " shred " on the blender .	an electrical switch operated by pressing	11	['switch', 'electric_switch', 'electrical_switch']
military	1	their military is the largest in the region	the military forces of a nation	11	['force', 'personnel']
maneuver	4	he made a great maneuver	a deliberate coordinated movement requiring dexterity and skill	11	['motion', 'movement', 'move']
partnership	5	the action teams worked in partnership with the government	a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal	11	['relationship', 'human_relationship']
oppression	3	the tyrant 's oppression of the people	the act of subjugating by cruelty	11	['persecution']
torrent	7	the houses were swept away in the torrent	a violently fast stream of water (or other liquid)	11	['current', 'stream']
advantage	4	The enemy had the advantage of a more elevated position .	the quality of having a superior or more favorable position	11	['asset', 'plus']
tipper	2	a generous tipper	a person who leaves a tip	11	['donor', 'giver', 'presenter', 'bestower', 'conferrer']
snatch	2	Martin 's snatch at the bridle failed and the horse raced away	a small fragment	11	['fragment']
strand	1	a strand of pearls	a pattern forming a unity within a larger structural whole	11	['form', 'shape', 'pattern']
horse	2	A clothes horse ; a sawhorse	troops trained to fight on horseback	11	['military_personnel', 'soldiery', 'troops']
crop	2	the annual crop of students brings a new crop of ideas	the output of something in a season	11	['end_product', 'output']
part	5	the government must do its part	the extended spatial location of something	11	['location']
relief	4	he has been on relief for many years	(law) redress awarded by a court	11	['damages', 'amends', 'indemnity', 'indemnification', 'restitution', 'redress']
criticism	4	the senator received severe criticism from his opponent	a serious examination and judgment of something	11	['critical_appraisal', 'critical_analysis']
string	1	a string of islands	stringed instruments that are played with a bow	11	['stringed_instrument']
identity	2	A right identity , x * I = x for any x in the structure	the distinct personality of an individual regarded as a persisting entity	11	['personality']
trailer	1	The trailer for that movie makes it seem like it would be fun .	a large transport conveyance designed to be pulled by a truck or tractor	11	['conveyance', 'transport']
fuckup	6	You 've got to fire that fuckup .	an embarrassing mistake	11	['mistake', 'error', 'fault']
domesticity	4	making a hobby of domesticity	the quality of being domestic or domesticated	11	['quality']
facility	6	the assembly plant is an enormous facility	something designed and created to serve a particular function and to afford a particular convenience or service	11	['artifact', 'artefact']
conjecture	4	The physicist used his conjecture about subatomic particles to design an experiment .	a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence)	11	['hypothesis', 'possibility', 'theory']
right	2	take a right at the corner	(frequently plural) the interest possessed by law or custom in some intangible thing	11	['interest', 'stake']
footprint	5	the computer had a desktop footprint of 10 by 16 inches	a trace suggesting that something was once present or felt or otherwise important	11	['trace', 'vestige', 'tincture', 'shadow']
frame	2	A stocking frame ; a lace frame ; a spinning frame	the hard structure (bones and cartilages) that provides a frame for the body of an animal	11	['system']
view	6	they look the same in outward view	the visual percept of a region	11	['visual_percept', 'visual_image']
sequence	5	he played the trumps in sequence	a following of one thing after another in time	11	['temporal_arrangement', 'temporal_order']
plenty	2	there was plenty of food for everyone	(often followed by `of') a large number or amount or extent	11	['large_indefinite_quantity', 'large_indefinite_amount']
promulgation	1	the promulgation was written in English	the formal act of proclaiming; giving public notice	11	['act', 'deed', 'human_action', 'human_activity']
exile	3	He lived in exile .	a person who is expelled from home or country by authority	11	['foreigner', 'alien', 'noncitizen', 'outlander']
success	1	his success in the marathon was unexpected	an event that accomplishes its intended purpose	11	['happening', 'occurrence', 'occurrent', 'natural_event']
peak	1	the peak of perfection	the top or extreme point of something (usually a mountain or hill)	11	['topographic_point', 'place', 'spot']
problem	3	what 's the problem ?	a state of difficulty that needs to be resolved	11	['difficulty']
taste	11	to ask at that particular time was the ultimate in bad taste	a brief experience of something	11	['experience']
preparation	3	he left the preparation of meals to his wife	(music) a note that produces a dissonant chord is first heard in a consonant chord	11	['harmony', 'musical_harmony']
gap	0	gap between income and outgo	a pass between mountain peaks	11	['pass', 'mountain_pass', 'notch']
land	9	Maybe that 's how it works in TV - land , bu not in the real world .	territory over which rule or control is exercised	11	['region']
impregnation	1	the impregnation of wood with preservative	material with which something is impregnated	11	['material', 'stuff']
distance	6	I could see it in the distance	size of the gap between two places	11	['size']
rush	7	the linebackers were ready to stop a rush	a sudden burst of activity	11	['outburst', 'burst', 'flare-up']
death	5	the animal died a painful death	the absence of life or state of being dead	11	['state']
sensation	4	the news caused a sensation	an unelaborated elementary awareness of stimulation	11	['perception']
load	3	that 's a load off my mind	electrical device to which electrical power is delivered	11	['electrical_device']
cross	4	a mule is a cross between a horse and a donkey	any affliction that causes great suffering	11	['affliction']
scraping	4	all that bowing and scraping did not impress him	(usually plural) a fragment scraped off of something and collected	11	['fragment']
apology	3	it was an apology for a meal	a formal written defense of something you believe in strongly	11	['defense', 'defence', 'vindication']
beat	8	in the old days a policeman walked a beat and knew all his people by name	the rhythmic contraction and expansion of the arteries with each beat of the heart	11	['periodic_event', 'recurrent_event']
accession	0	accession to such demands would set a dangerous precedent	something added to what you already have	11	['acquisition']
assurance	1	an assurance of help when needed	freedom from doubt; belief in yourself and your abilities	11	['certainty']
vision	9	the runners emerged from the trees into his clear vision	a religious or mystical experience of a supernatural appearance	11	['experience']
closure	3	they regretted the closure of the day care center	something settled or resolved; the outcome of decision making	11	['decision_making', 'deciding']
dollar	4	he worships the almighty dollar	a United States coin worth one dollar	11	['coin']
twilight	9	I could just make out her face in the twilight .	the time of day immediately following sunset	11	['hour', 'time_of_day']
adhesion	1	the adhesion of Seville was decisive	the property of sticking together (as of glue and wood) or the joining of surfaces of different composition	11	['stickiness']
number	25	The word “ fifteen ” , the Arabic numeral “ 15 ” , and the Roman numeral “ XV ” are all numerals representing the number fifteen .	the property possessed by a sum or total or indefinite quantity of units or individuals	11	['amount']
god	3	he was a god among men	a material effigy that is worshipped	11	['effigy', 'image', 'simulacrum']
experience	2	a surprising experience	the accumulation of knowledge or skill that results from direct participation in events or activities	11	['education']
building	2	the entire building complained about the noise	the act of constructing something	11	['creating_from_raw_materials']
look	1	a look of triumph	the act of directing the eyes toward something and perceiving it visually	11	['sensing', 'perception']
delight	5	the new car is a delight	a feeling of extreme pleasure or satisfaction	11	['pleasure', 'pleasance']
activity	1	catalytic activity	any specific behavior	11	['act', 'deed', 'human_action', 'human_activity']
construction	5	The engineer marvelled at his construction .	the act of constructing something	11	['creating_from_raw_materials']
power	5	He needed a lot of power to hit the ball out of the stadium .	one possessing or exercising power or influence or authority	11	['causal_agent', 'cause', 'causal_agency']
response	4	this situation developed in response to events in Africa	a bodily process occurring due to the effect of some antecedent stimulus or agent	11	['bodily_process', 'body_process', 'bodily_function', 'activity']
drawing	1	the drawing of water from the well	a representation of forms or objects on a surface by means of lines	11	['representation']
char	10	“ Among other native delicacies , they give you fresh char . ”	a human female employed to do housework	11	['cleaner']
shadiness	4	there 's too much shadiness to take good photographs	of questionable honesty or legality	11	['unlawfulness']
nude	4	they swam in the nude	a painting of a naked human figure	11	['painting', 'picture']
detention	1	his detention was politically motivated	a punishment in which a student must stay at school after others have gone home	11	['punishment', 'penalty', 'penalization', 'penalisation']
parade	6	The floats and horses in the parade were impressive , but the marching bands were really amazing .	a visible display	11	['display', 'exhibit', 'showing']
portfolio	9	he remembered her because she was carrying a large portfolio	the role of the head of a government department	11	['function', 'office', 'part', 'role']
kick	1	the kick must be synchronized with the arm movements	the sudden stimulation provided by strong drink (or certain drugs)	11	['stimulation', 'stimulus', 'stimulant', 'input']
passage	2	the outward passage took 10 days	a section of text; particularly a section of medium length	11	['section', 'subdivision']
association	9	you can not be convicted of criminal guilt by association	a formal organization of people or groups of people	11	['organization', 'organisation']
